City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Sangar,RU,63.9242,127.4739,62.13,98,81,1.7,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,55.4,94,100,8.05,overcast clouds
Berlevag,NO,70.8578,29.0864,62.4,94,75,0.0,moderate rain
Huangmei,CN,30.1924,116.025,80.26,91,83,2.06,broken clouds
Silver City,US,32.7701,-108.2803,93.16,28,0,0.0,clear sky
Zhigansk,RU,66.7697,123.3711,58.46,92,96,3.56,overcast clouds
Vestmanna,FO,62.1564,-7.1664,49.12,93,75,5.75,broken clouds
Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,84.45,32,7,2.06,clear sky
Kichera,RU,55.9375,110.0997,61.93,78,100,1.74,overcast clouds
Mantua,IT,45.1667,10.7833,87.04,56,0,1.99,clear sky
Eyl,SO,7.9803,49.8164,76.33,78,2,23.67,clear sky
Gurupi,BR,-11.7292,-49.0686,83.35,29,1,4.05,clear sky
Benemerito De Las Americas,MX,16.5167,-90.6439,89.94,54,99,2.89,overcast clouds
Khatanga,RU,71.9667,102.5,50.79,85,100,13.96,overcast clouds
Mecca,SA,21.4267,39.8261,88.02,52,65,3.2,broken clouds
Pathein,MM,16.7833,94.7333,76.69,93,100,10.0,overcast clouds
Tual,ID,-5.6667,132.75,78.24,72,94,19.51,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,43.77,91,99,1.77,overcast clouds
Alexandria,EG,31.2156,29.9553,77.85,67,0,10.98,clear sky
Sabang,ID,5.8933,95.3214,82.45,75,100,17.16,overcast clouds
Lohja,FI,60.2486,24.0653,67.39,91,49,4.68,scattered clouds
Milos,GR,36.75,24.4333,75.58,69,0,12.86,clear sky
Vila Velha,BR,-20.3297,-40.2925,73.35,87,75,8.05,broken clouds
Nanchang,CN,28.6833,115.8833,82.24,77,75,5.44,broken clouds
Yellowknife,CA,62.456,-114.3525,62.64,54,97,7.83,overcast clouds
San Quintin,MX,30.4833,-115.95,71.82,76,100,17.94,overcast clouds
Saldanha,ZA,-33.0117,17.9442,54.34,76,98,11.48,overcast clouds
Chandil,IN,22.9667,86.05,82.54,80,100,2.01,light rain
Klaksvik,FO,62.2266,-6.589,50.92,89,12,4.88,few clouds
Husavik,IS,66.0449,-17.3389,51.04,78,83,3.13,broken clouds
Asadabad,IR,34.7824,48.1185,75.97,15,0,5.46,clear sky
Saint-Georges,GD,12.0564,-61.7485,81.57,77,2,15.32,clear sky
Tokat,TR,40.4167,36.5833,47.53,91,0,2.42,clear sky
Paracuru,BR,-3.41,-39.0306,76.1,77,81,11.45,broken clouds
Salisbury,GB,51.0693,-1.7957,71.46,66,100,0.98,overcast clouds
Soyo,AO,-6.1349,12.3689,70.2,88,7,11.12,clear sky
Khasan,RU,42.4308,130.6434,67.32,98,99,2.66,overcast clouds
Lyubim,RU,58.3625,40.6843,56.32,83,38,5.28,scattered clouds
Kargopol,RU,61.5071,38.9456,60.03,80,34,4.07,scattered clouds
West Bay,KY,19.3667,-81.4167,89.67,78,40,10.36,scattered clouds
Tabas,IR,33.5959,56.9244,92.03,11,0,5.66,clear sky
Jinchang,CN,38.4953,102.1739,59.31,50,0,8.88,clear sky
Arlit,NE,18.7369,7.3853,98.46,13,22,5.73,few clouds
Quartucciu,IT,39.2519,9.1794,84.07,37,0,6.91,clear sky
Flagstaff,US,35.1981,-111.6513,91.53,34,96,5.14,moderate rain
Losheim,DE,49.5167,6.75,67.33,84,0,4.99,clear sky
Margate,GB,51.3813,1.3862,65.3,77,20,5.01,few clouds
Diofior,SN,14.1833,-16.6667,81.72,72,100,10.76,overcast clouds
Hambantota,LK,6.1241,81.1185,79.16,81,100,20.2,light rain
Victoria,HK,22.2855,114.1577,86.18,79,0,1.01,clear sky
Nisia Floresta,BR,-6.0911,-35.2086,74.21,90,100,7.2,overcast clouds
Fairbanks,US,64.8378,-147.7164,64.22,64,75,3.44,broken clouds
Isangel,VU,-19.55,169.2667,78.08,80,4,13.71,clear sky
Port-Cartier,CA,50.0334,-66.8654,67.75,73,100,10.76,overcast clouds
Iqaluit,CA,63.7506,-68.5145,42.53,93,75,0.0,mist
Georgetown,MY,5.4112,100.3354,81.9,89,20,2.3,few clouds
Chifeng,CN,42.2683,118.9636,67.75,77,0,4.09,clear sky
Pajapan,MX,18.25,-94.7,82.56,68,39,9.1,scattered clouds
Sola,VU,-13.8833,167.55,80.31,81,62,17.43,broken clouds
Noumea,NC,-22.2763,166.4572,75.0,99,30,10.16,scattered clouds
Grand Gaube,MU,-20.0064,57.6608,69.39,72,98,5.99,overcast clouds
Banes,CU,20.9625,-75.7186,85.41,66,8,15.9,clear sky
Antofagasta,CL,-23.65,-70.4,59.59,79,11,6.04,few clouds
Karpathos,GR,35.507,27.2132,73.36,83,0,25.32,light rain
Gunnedah,AU,-30.9833,150.25,47.46,86,100,8.43,overcast clouds
Maxixe,MZ,-23.8597,35.3472,66.29,86,0,4.79,clear sky
San Vicente,AR,-26.6167,-54.1333,65.71,78,88,2.82,overcast clouds
Cacequi,BR,-29.8836,-54.825,69.55,85,100,2.3,overcast clouds
Galle,LK,6.0367,80.217,78.08,86,98,16.71,moderate rain
Yarmouth,US,41.7057,-70.2286,84.67,85,100,18.41,mist
Prieska,ZA,-29.6641,22.7474,56.84,37,0,2.24,clear sky
Muros,ES,42.7762,-9.0603,70.68,81,95,14.63,overcast clouds
Awjilah,LY,29.1081,21.2869,79.05,50,0,17.05,clear sky
Nerchinskiy Zavod,RU,51.3088,119.61,60.26,93,21,2.64,few clouds
Morondava,MG,-20.2833,44.2833,69.89,73,0,10.74,clear sky
Mirnyy,RU,62.5353,113.9611,55.24,100,100,1.99,overcast clouds
Kyra,RU,49.5776,111.9753,61.2,90,100,4.09,overcast clouds
Yenagoa,NG,4.9247,6.2642,74.62,89,85,4.0,overcast clouds
Carnarvon,AU,-24.8667,113.6333,61.92,73,52,17.0,broken clouds
Marshall,US,34.3834,-86.3333,94.71,61,40,5.75,scattered clouds
Constitucion,CL,-35.3333,-72.4167,56.97,80,31,10.45,scattered clouds
Whitehorse,CA,60.7161,-135.0538,64.02,51,80,15.99,broken clouds
Gloversville,US,43.0528,-74.3438,87.12,64,40,13.8,scattered clouds
Huarmey,PE,-10.0681,-78.1522,66.67,73,21,11.88,few clouds
Pacific Grove,US,36.6177,-121.9166,79.25,81,40,9.22,scattered clouds
Kahului,US,20.8947,-156.47,82.42,69,75,17.27,broken clouds
La Tuque,CA,47.4334,-72.7824,76.57,73,68,10.74,broken clouds
Quatre Cocos,MU,-20.2078,57.7625,69.1,68,91,19.01,overcast clouds
Chokurdakh,RU,70.6333,147.9167,48.38,43,0,8.19,clear sky
Lucera,IT,41.5082,15.3351,78.13,35,0,1.43,clear sky
Angoche,MZ,-16.2325,39.9086,71.46,74,0,3.85,clear sky
Chitipa,MW,-9.7024,33.2697,57.51,81,11,7.74,few clouds
Mingaora,PK,34.7758,72.3625,75.04,96,99,1.03,overcast clouds
Dukat,RU,62.55,155.55,51.12,55,1,7.4,clear sky
Dubrovnik,HR,42.6481,18.0922,76.64,78,0,6.91,clear sky
Almaznyy,RU,48.0448,40.045,60.33,74,82,7.34,broken clouds
Chicama,PE,-7.8447,-79.1469,61.34,61,92,7.58,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,82.98,16,0,3.36,clear sky
Kharan,PK,28.5833,65.4167,90.97,46,12,10.71,few clouds
Belaya Gora,RU,68.5333,146.4167,53.37,50,10,9.33,clear sky
Pinheiro Machado,BR,-31.5783,-53.3811,59.05,97,100,1.59,overcast clouds
Qujing,CN,25.4833,103.7833,62.24,90,74,5.88,broken clouds
Carutapera,BR,-1.195,-46.02,77.23,88,55,8.08,broken clouds
Ipameri,BR,-17.7219,-48.1597,72.27,40,33,7.27,scattered clouds
Yulara,AU,-25.2406,130.9889,48.25,42,0,7.54,clear sky
Poum,NC,-20.2333,164.0167,77.13,85,99,25.19,overcast clouds
Praia,CV,14.9215,-23.5087,79.34,73,40,5.75,scattered clouds
Luorong,CN,24.4058,109.6086,76.91,93,2,2.39,clear sky
Luderitz,NA,-26.6481,15.1594,65.28,46,0,5.53,clear sky
Nabire,ID,-3.3667,135.4833,75.2,89,22,2.62,few clouds
Morant Bay,JM,17.8815,-76.4093,93.7,69,59,12.77,broken clouds
Fortuna,US,40.5982,-124.1573,65.93,78,42,5.01,scattered clouds
Kenai,US,60.5544,-151.2583,59.02,71,100,5.75,overcast clouds
Swellendam,ZA,-34.0226,20.4417,49.51,63,100,1.03,overcast clouds
Naze,JP,28.3667,129.4833,80.82,87,35,13.67,scattered clouds
Merauke,ID,-8.4667,140.3333,75.0,88,27,6.85,scattered clouds
Linxia,CN,35.6003,103.2064,48.22,86,1,3.62,clear sky
Brooks,CA,50.5834,-111.8851,82.04,36,1,6.15,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,52.09,57,88,5.12,overcast clouds
Camacha,PT,33.0833,-16.3333,67.42,68,75,16.11,broken clouds
Zyryanka,RU,65.75,150.85,54.16,55,13,4.9,few clouds
Naryan-Mar,RU,67.6713,53.087,42.62,88,71,8.32,broken clouds
Marondera,ZW,-18.1853,31.5519,51.48,77,81,2.48,broken clouds
Sobolevo,RU,54.4299,31.8996,55.71,93,0,7.99,clear sky
Codrington,AU,-38.2667,141.9667,47.46,83,73,11.83,broken clouds
Gweta,BW,-20.1833,25.2333,60.62,59,16,12.35,few clouds
Tiarei,PF,-17.5333,-149.3333,80.62,76,16,11.45,light rain
Luba,GQ,3.4568,8.5547,76.28,88,97,7.18,light rain
Lompoc,US,34.6391,-120.4579,91.78,70,0,16.11,clear sky
Fairview,US,40.8126,-73.999,97.83,52,20,19.57,few clouds
Punta Alta,AR,-38.8759,-62.0736,50.59,31,100,7.54,overcast clouds
Yerofey Pavlovich,RU,53.9667,121.9667,62.08,95,48,3.13,scattered clouds
Zirandaro,MX,18.45,-100.9833,97.39,45,97,1.34,overcast clouds
Santa Maria,BR,-29.6842,-53.8069,69.66,85,100,0.98,overcast clouds
Moranbah,AU,-22.0016,148.0466,53.53,89,6,5.12,clear sky
Sabha,LY,27.0377,14.4283,83.62,23,0,10.54,clear sky
Brae,GB,60.3964,-1.353,50.7,85,16,10.56,few clouds
Wajir,KE,1.7471,40.0573,74.75,65,0,23.4,clear sky
Lithakia,GR,37.7167,20.8333,74.57,68,0,1.34,clear sky
Santa Marinella,IT,42.0345,11.8536,81.68,79,0,4.94,clear sky
Chilliwack,CA,49.1747,-121.9443,86.36,50,54,5.99,broken clouds
Leningradskiy,RU,69.3833,178.4167,35.1,99,100,10.25,light snow
Shubarkuduk,KZ,49.1447,56.4872,73.74,37,100,15.46,overcast clouds
Kaura Namoda,NG,12.5898,6.5779,79.2,68,36,4.94,scattered clouds
Amuntai,ID,-2.4177,115.2494,73.65,95,99,0.63,light rain
Biltine,TD,14.5333,20.9167,81.07,60,97,12.24,overcast clouds
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.46,18,17,14.05,few clouds
Pangnirtung,CA,66.1451,-65.7125,44.6,100,75,4.61,broken clouds
Sisimiut,GL,66.9395,-53.6735,48.4,84,98,16.31,overcast clouds
Barda,AZ,40.3744,47.1267,78.21,53,31,2.39,scattered clouds
Vaitape,PF,-16.5167,-151.75,77.31,73,11,11.59,light rain
Fare,PF,-16.7,-151.0167,76.75,74,6,11.86,clear sky
Itoman,JP,26.1247,127.6694,84.58,89,6,11.5,clear sky
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.61,86,88,9.8,overcast clouds
Rabo De Peixe,PT,37.8,-25.5833,75.27,62,75,5.75,broken clouds
Thinadhoo,MV,0.5333,72.9333,81.19,73,99,12.39,overcast clouds
Sandwick,GB,60.0,-1.25,49.82,81,34,6.91,scattered clouds
Inirida,CO,3.8653,-67.9239,79.0,94,93,2.84,overcast clouds
Eirunepe,BR,-6.6603,-69.8736,89.01,45,69,0.87,broken clouds
Rocha,UY,-34.4833,-54.3333,49.96,91,100,2.8,overcast clouds
Billings,US,45.7833,-108.5007,99.66,12,0,13.8,clear sky
Locri,IT,38.2414,16.2623,78.31,60,0,9.1,clear sky
